"rho","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.0033384,-2.7179e-14,0,1,37.323,49.5,37.323,0
1,0.0033419,-2.7253e-14,0,1,37.422,49.5,37.422,0
1,0.0033454,-2.7327e-14,0,1,37.521,49.5,37.521,0
1,0.0033489,-2.7401e-14,0,1,37.62,49.5,37.62,0
1,0.0033525,-2.7476e-14,0,1,37.719,49.5,37.719,0
1,0.003356,-2.755e-14,0,1,37.818,49.5,37.818,0
1,0.0033595,-2.7624e-14,0,1,37.917,49.5,37.917,0
1,0.0033629,-2.7675e-14,0,1,38.016,49.5,38.016,0
1,0.0033662,-2.7603e-14,0,1,38.115,49.5,38.115,0
1,0.0033694,-2.7532e-14,0,1,38.214,49.5,38.214,0
1,0.0033726,-2.746e-14,0,1,38.313,49.5,38.313,0
1,0.0033758,-2.7389e-14,0,1,38.412,49.5,38.412,0
1,0.003379,-2.7317e-14,0,1,38.511,49.5,38.511,0
1,0.0033823,-2.7246e-14,0,1,38.61,49.5,38.61,0
1,0.0033855,-2.7175e-14,0,1,38.709,49.5,38.709,0
1,0.0033887,-2.7103e-14,0,1,38.808,49.5,38.808,0
1,0.0033919,-2.7032e-14,0,1,38.907,49.5,38.907,0
